source,target,avg_finished_duration,avg_finished_path_length,avg_rating,failure_rate,avg_unfinished_duration,avg_unfinished_path_length,difficulty_score,shortest_path_length,semantic_distance
Ant,Hurricane_Katrina,89.22,5.67,1.67,0.31,115.0,5.0,0.13,3.0,0.44
Ant,Norwich,333.0,8.5,3.0,0.0,,,0.14,3.0,0.4
Ant,Adolf_Hitler,88.0,5.0,1.0,0.0,,,0.06,3.0,0.5
Ant,Elvis_Presley,83.0,4.0,,0.0,,,0.05,3.0,0.44
Ant,Parliament_of_the_United_Kingdom,90.33,5.33,2.0,0.0,,,0.06,3.0,0.44
Ant,Avalanche,112.14,6.29,2.0,0.22,311.0,10.0,0.12,3.0,0.43
Ant,Penguin,22.0,4.0,2.0,0.0,,,0.04,3.0,0.37
Ant,Superconductivity,387.0,7.33,4.0,0.4,219.5,6.5,0.23,3.0,0.55
Anthropology,God,127.33,5.0,2.0,0.0,,,0.07,2.0,0.43
Anthropology,Charles_Darwin,49.0,3.0,,0.0,,,0.04,2.0,0.47
Anthropology,History_of_science,102.0,5.0,2.0,0.0,,,0.06,3.0,0.42
Anthropology,Jersey,155.0,11.0,,0.0,,,0.12,2.0,0.45
Antlion,Hip_hop_music,141.96,6.25,2.82,0.17,211.8,9.0,0.12,3.0,0.42
Apollo,Athens,10.0,2.0,1.0,0.0,,,0.02,1.0,0.33
Apollo,Cell_(biology),27.0,4.0,5.0,0.0,,,0.04,3.0,0.44
Apollo,Glasgow,300.0,5.0,2.0,0.0,,,0.11,3.0,0.39
Apollo,Flamingo,54.0,6.0,,0.33,91.0,2.0,0.13,3.0,0.4
Apollo,Extinct_birds,90.0,6.0,3.0,0.0,,,0.07,4.0,0.46
Apollo,Chester_A._Arthur,131.25,7.0,1.0,0.0,,,0.09,4.0,0.44
Apollo,Madama_Butterfly,377.0,11.0,,0.5,595.0,5.0,0.27,4.0,0.41
Apollo,Skiing,147.67,6.5,1.0,0.4,75.75,3.25,0.17,2.0,0.48
Archaeology,Anthropology,3.0,2.0,1.0,0.0,,,0.02,1.0,0.14
Archaeology,Music,85.0,4.0,,0.0,,,0.05,2.0,0.33
Archaeology,Nile,89.0,4.0,,0.0,,,0.05,2.0,0.41
Archaeology,Atom,71.0,6.0,1.0,0.0,,,0.06,2.0,0.44
Archaeology,List_of_popes,112.0,6.0,2.0,0.67,488.0,8.0,0.21,4.0,0.45
Archaeology,Ecuador,47.0,4.17,1.5,0.0,,,0.04,2.0,0.44
Archaeology,Brighton,25.0,3.0,1.0,0.0,,,0.03,2.0,0.41
Archaeology,South_Korea,210.0,4.0,1.0,0.0,,,0.08,2.0,0.47
Archaeology,Darfur_conflict,91.0,6.0,,0.0,,,0.07,3.0,0.46
Archbishop_of_Canterbury,Love,106.33,7.67,1.67,0.4,135.0,4.0,0.17,3.0,0.47
Archbishop_of_Canterbury,Vietnam,141.23,6.57,1.91,0.17,151.5,5.17,0.12,3.0,0.44
Archbishop_of_Canterbury,Mount_Rainier,200.0,7.0,3.0,0.0,,,0.1,3.0,0.28
Archbishop_of_Canterbury,Neil_Armstrong,198.3,10.4,3.0,0.17,311.0,5.0,0.16,3.0,0.36
Archbishop_of_Canterbury,"Houston,_Texas",138.0,8.5,3.67,0.0,,,0.1,3.0,0.32
Archbishop_of_Canterbury,Universe,145.6,9.6,2.5,0.0,,,0.11,3.0,0.45
Archbishop_of_Canterbury,Dead_Sea,115.33,6.0,2.5,0.5,108.67,5.33,0.17,3.0,0.37
Archbishop_of_Canterbury,Krypton,257.0,7.0,3.0,0.0,,,0.11,3.0,0.5
Arctic_Ocean,Backgammon,194.5,9.75,2.67,0.43,137.67,5.0,0.21,3.0,0.45
Arctic_Ocean,Niger,71.0,5.0,,0.0,,,0.06,3.0,0.44
Arctic_Ocean,Vertebrate,250.0,7.0,4.0,0.0,,,0.11,3.0,0.44
Arctic_Ocean,Water_resources,291.5,12.0,4.0,0.33,68.0,5.0,0.23,3.0,0.34
Arctic_Ocean,Mississippi_River,25.0,3.0,1.0,0.0,,,0.03,2.0,0.27
Arctic_Ocean,American_Revolutionary_War,41.0,4.0,2.0,0.0,,,0.04,2.0,0.33
Arctic_Ocean,Investment_banking,176.0,7.5,2.0,0.0,,,0.1,4.0,0.3
Arctic_Ocean,Oligarchy,90.0,5.0,,0.0,,,0.06,3.0,0.48
Arctic_Ocean,Pedagogy,374.5,19.5,2.0,0.0,,,0.24,3.0,0.47
Arctic_Ocean,The_Canadian,46.0,5.0,2.0,0.0,,,0.05,3.0,0.31
Arctic_Ocean,West_Bank,673.0,21.0,,0.0,,,0.32,3.0,0.32
Aristotle,Arithmetic,69.0,4.0,,0.0,,,0.05,2.0,0.39
Aristotle,George_W._Bush,32.0,5.0,1.0,0.0,,,0.05,2.0,0.46
Aristotle,Iron_Age,191.67,6.67,3.0,0.4,101.5,4.0,0.18,3.0,0.5
Aristotle,Great_Britain,105.0,7.0,,0.0,,,0.08,3.0,0.47
